time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;6.6;-15.8;-67.2;-0.22;-0.83;-0.62
0.02008676528930664;6.8;-15.9;-67.4;-0.22;-0.83;-0.62
0.040021657943725586;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.06000971794128418;6.5;-15.8;-67.4;-0.22;-0.83;-0.62
0.08008480072021484;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.10001254081726074;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.12032890319824219;6.6;-15.8;-67.2;-0.22;-0.83;-0.62
0.14005780220031738;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.16005158424377441;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.1800997257232666;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.20001769065856934;6.6;-15.8;-67.5;-0.22;-0.83;-0.62
0.22011375427246094;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.24007439613342285;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.26017141342163086;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.28008556365966797;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.30013084411621094;6.7;-15.9;-67.5;-0.22;-0.83;-0.62
0.3200418949127197;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.3400442600250244;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.36002302169799805;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.38002538681030273;6.7;-15.9;-67.2;-0.22;-0.83;-0.62
0.40001368522644043;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.41998934745788574;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.4400599002838135;6.8;-15.9;-67.4;-0.22;-0.83;-0.62
0.46018075942993164;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.48038792610168457;6.7;-15.8;-67.5;-0.22;-0.83;-0.62
0.4999878406524658;6.6;-15.8;-67.5;-0.22;-0.83;-0.62
0.5201170444488525;6.6;-15.8;-67.5;-0.22;-0.83;-0.62
0.5400302410125732;6.7;-15.8;-67.7;-0.22;-0.83;-0.62
0.560145378112793;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.5800416469573975;6.6;-15.9;-67.2;-0.22;-0.83;-0.62
0.6001791954040527;6.7;-15.9;-67.2;-0.22;-0.83;-0.62
0.6200451850891113;6.7;-15.8;-67.2;-0.22;-0.83;-0.62
0.6401767730712891;6.7;-15.9;-67.2;-0.22;-0.83;-0.62
0.6600558757781982;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
0.6802544593811035;6.7;-15.8;-67.2;-0.22;-0.83;-0.62
0.7000248432159424;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.719994068145752;6.6;-15.8;-67.5;-0.22;-0.83;-0.62
0.74015212059021;6.7;-15.8;-67.4;-0.22;-0.82;-0.62
0.7600533962249756;6.8;-15.9;-67.2;-0.22;-0.83;-0.62
0.780076265335083;6.8;-15.9;-67.2;-0.22;-0.83;-0.62
0.8000569343566895;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.8201637268066406;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.8400347232818604;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.860424280166626;6.8;-15.9;-67.2;-0.22;-0.83;-0.62
0.8800654411315918;6.7;-15.8;-67.2;-0.22;-0.83;-0.62
0.9001643657684326;6.6;-15.8;-67.4;-0.22;-0.83;-0.62
0.9199872016906738;6.6;-15.9;-67.4;-0.22;-0.83;-0.62
