0.000000000000000000e+00,1.333435906207179045e+01,2.593866215419625831e+01,4.807598001597984876e+02,5.469589531360938395e+00,-8.217817182449998370e+00,3.671296904156750429e+01
1.986646652221669973e-02,1.322655044914382749e+01,2.617262573478978993e+01,4.807625325837634023e+02,5.512955532845596807e+00,-8.233480571592771469e+00,3.685687974881815165e+01
3.998947143554679867e-02,1.322831219966047023e+01,2.597467902676773832e+01,4.805604341408225650e+02,5.458972363542752504e+00,-8.251032718923426046e+00,3.667313719515685477e+01
5.984544754028320312e-02,1.319584675513325678e+01,2.588901464920740381e+01,4.803616237746218758e+02,5.455862036251654779e+00,-8.147823169420611578e+00,3.664985462965800167e+01
8.004927635192869706e-02,1.305868017040696571e+01,2.590482982167173631e+01,4.800547666139592025e+02,5.454598933046197473e+00,-7.985591665600743738e+00,3.673078253462111320e+01
9.981584548950189761e-02,1.334782453214790010e+01,2.591628986488984765e+01,4.800582192986324799e+02,5.457070376740604800e+00,-8.297189058082253155e+00,3.672627950661286889e+01
1.198451519012451033e-01,1.321966599333704195e+01,2.594763053713265322e+01,4.803546478433228799e+02,5.483932058121235187e+00,-8.307590316158602661e+00,3.671535339166142364e+01
1.399493217468260886e-01,1.320882956728100943e+01,2.610387351359272401e+01,4.796599469699199290e+02,5.471796377635799402e+00,-8.160091229730483064e+00,3.670530256392474655e+01
1.600003242492674949e-01,1.318566119227248734e+01,2.626190948331094432e+01,4.801644154198946239e+02,5.506561446020795891e+00,-8.260022834746514775e+00,3.681081208034557761e+01
1.799452304840087891e-01,1.318837386122344846e+01,2.630898825200853253e+01,4.801683066816727887e+02,5.519425998459514204e+00,-8.232531576593004274e+00,3.680366622007903743e+01
1.999609470367431086e-01,1.320081272578685017e+01,2.626282397162755444e+01,4.799721912342784549e+02,5.507205964591541658e+00,-8.159382668415830153e+00,3.672232390045392947e+01
2.199175357818602961e-01,1.312566265157797041e+01,2.617302700264202286e+01,4.798677274653113045e+02,5.492123390430423413e+00,-8.105015823735151059e+00,3.656485741238341802e+01
2.398746013641356867e-01,1.314379017095961188e+01,2.619049837873260955e+01,4.798720437186902927e+02,5.476968719398640495e+00,-8.123804579733004516e+00,3.650905230674009516e+01
2.598731517791748047e-01,1.315883325082738331e+01,2.643114273551106308e+01,4.800820906433010578e+02,5.525140206323363223e+00,-8.147159793621540302e+00,3.664724011206196508e+01
