,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[3.33, 2.59]","[2.13, 4.49]","[0.68, 4.73]","[-1.43, 8.78]","[4.47, 2.43]","[2.79, 3.15]","[0.12, 4.41]","[-1.75, 6.73]"
percentage,"[92.5, 7.5]","[67.07, 32.93]","[56.25, 43.75]","[63.06, 36.94]","[93.51, 6.49]","[83.33, 16.67]","[48.89, 51.11]","[39.36, 60.64]"
min,-0.81,-7.16,-7.88,-23.23,-0.71,-4.14,-7.21,-18.28
max,7.8,7.9,7.8,8.05,7.85,7.97,7.84,7.79
integral,170.17,219.38,213.01,318.68,224.88,183.34,187.42,279.94
