,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[0.0006, 0.0004]","[0.0005, 0.0003]","[0.0003, 0.0003]","[0.0041, 0.0068]","[0.0008, 0.0009]","[0.0007, 0.0006]","[0.0006, 0.0008]","[0.0008, 0.0006]"
percentage,"[46.25, 53.75]","[63.4146, 36.5854]","[41.0714, 58.9286]","[59.4595, 40.5405]","[45.4545, 54.5455]","[48.8095, 51.1905]","[41.1111, 58.8889]","[52.1277, 47.8723]"
min,-0.0013,-0.001,-0.0015,-0.0017,-0.0035,-0.0024,-0.0037,-0.0024
max,0.0014,0.001,0.0007,0.0234,0.0011,0.002,0.0011,0.0018
integral,0.0326,0.0237,0.0171,0.201,0.0398,0.0347,0.0311,0.0379
