,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[0.0364, 0.0208]","[0.0339, 0.0124]","[0.0243, 0.0154]","[0.0386, 0.0306]","[0.0331, 0.0178]","[0.0325, 0.0197]","[0.0333, 0.0273]","[0.0379, 0.0234]"
percentage,"[61.25, 38.75]","[67.0732, 32.9268]","[67.8571, 32.1429]","[80.1802, 19.8198]","[63.6364, 36.3636]","[69.0476, 30.9524]","[67.7778, 32.2222]","[57.4468, 42.5532]"
min,-0.0916,-0.0558,-0.0469,-0.0765,-0.0744,-0.0685,-0.0833,-0.0481
max,0.0423,0.0477,0.0579,0.1091,0.039,0.0533,0.0784,0.097
integral,1.8246,1.6903,1.2193,1.9105,1.6467,1.6375,1.6726,1.8912
