,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
min,0.32,0.1,-1.19,-3.34,0.52,0.84,0.0,-28.18
max,659.61,659.56,901.08,766.08,623.81,662.91,678.95,854.18
