,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
min,-123.8,-112.4,-136.6,-168.4,-183.4,-173.4,-163.8,-129.0
max,1012.0,798.2,773.2,703.2,1005.6,956.2,818.2,1048.2
