,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[5.31, 1.26]","[3.03, 2.41]","[1.96, 2.54]","[-2.39, 7.37]","[6.02, 1.25]","[5.03, 1.31]","[4.12, 2.06]","[1.49, 2.96]"
percentage,"[100.0, 0.0]","[82.93, 17.07]","[70.54, 29.46]","[61.26, 38.74]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[64.89, 35.11]"
min,2.92,-1.28,-1.91,-17.48,3.13,2.48,0.36,-3.62
max,7.74,7.67,7.7,7.54,7.9,7.7,7.75,7.44
integral,263.46,163.56,120.97,260.06,297.9,251.04,205.61,123.26
