,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[5.2, 1.11]","[2.94, 2.97]","[1.74, 2.96]","[-2.15, 7.63]","[5.83, 0.85]","[4.75, 1.29]","[3.72, 2.5]","[1.34, 3.34]"
percentage,"[100.0, 0.0]","[78.05, 21.95]","[67.86, 32.14]","[57.66, 42.34]","[100.0, 0.0]","[100.0, 0.0]","[95.56, 4.44]","[54.26, 45.74]"
min,3.55,-2.78,-3.32,-18.87,3.81,2.13,-0.28,-3.17
max,7.64,7.58,7.7,7.65,7.68,7.72,7.78,7.15
integral,258.09,182.11,135.25,264.79,288.53,237.14,186.12,140.79
