,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[0.0013, 0.0008]","[0.0017, 0.0015]","[0.0005, 0.0005]","[0.0061, 0.0069]","[0.0025, 0.0014]","[0.0043, 0.0025]","[0.0022, 0.0016]","[0.001, 0.0008]"
percentage,"[38.75, 61.25]","[56.0976, 43.9024]","[47.3214, 52.6786]","[20.7207, 79.2793]","[64.9351, 35.0649]","[36.9048, 63.0952]","[50.0, 50.0]","[40.4255, 59.5745]"
min,-0.0029,-0.0052,-0.0018,-0.0233,-0.0049,-0.0071,-0.0057,-0.0025
max,0.0022,0.0017,0.0014,0.0009,0.0045,0.008,0.0024,0.0012
integral,0.0632,0.0851,0.0271,0.3013,0.1228,0.2148,0.1083,0.0483
