,477_104,457_104,436_104,415_104,498_104,498_125,498_145,498_166
avg,"[0.11, 0.04]","[0.13, 0.05]","[0.14, 0.08]","[0.18, 0.11]","[0.08, 0.05]","[0.1, 0.05]","[0.13, 0.06]","[0.15, 0.1]"
percentage,"[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]","[100.0, 0.0]"
min,0.02,0.02,0.01,0.0,0.02,0.03,0.02,0.03
max,0.19,0.21,0.29,0.37,0.16,0.18,0.24,0.38
integral,5.48,6.68,7.14,8.91,4.01,5.07,6.35,7.63
