time, StatePelvisPosX, StatePelvisPosZ, StatePelvisRotY, StateHipRotY, StateKneeRotY, StateAnkleRotY, StateMiddleTrunkRotY, StateLShoulderRotY, StateLElbowRotY, StateRShoulderRotY, StateRElbowRotY, StateHeadRotY, StatePelvisVelX, StatePelvisVelZ, StatePelvisRotVelY, StateHipRotVelY, StateKneeRotVelY, StateAnkleRotVelY, StateMiddleTrunkRotVelY, StateLShoulderRotVelY, StateLElbowRotVelY, StateRShoulderRotVelY, StateRElbowRotVelY, StateHeadRotVelY, StateHipTorque, StateKneeTorque, StateAnkleTorque, StateMiddleTrunkTorque, StateShoulderTorque, StateElbowTorque, StateHeadTorque, ControlHipDTorque, ControlKneeDTorque, ControlAnkleDTorque, ControlMiddleTrunkDTorque, ControlShoulderDTorque, ControlElbowDTorque, ControlHeadDTorque, TauPelvisPosX, TauPelvisPosZ, TauPelvisRotY, Tauleg_3_joint, Tauleg_4_joint, Tauleg_5_joint, Tautorso_2_joint, Tauarm_1_joint, Tauarm_4_joint, Tauarm_1_joint, Tauarm_4_joint, Tauhead_2_joint, Heel_Fx, Heel_Fy, Heel_Fz, Toe_Fx, Toe_Fy, Toe_Fz, CoP, Hand_x, Hand_y, Hand_z, Box_Hand_Fx, Box_Hand_Fz, Box_Hand_Ty, Phase
0, -0.0305739, 0.719981, 0.1, -1.04621, 1.26653, -0.320314, 0.1, 0.23, 1, 0.23, 1, 0.03, 8.46594e-18, 3.14946e-18, 1.62438e-17, -2.79903e-18, -7.84723e-18, 9.68305e-19, -3.44377e-18, -6.36341e-19, 3.17377e-18, 2.00368e-18, -2.52932e-18, 1.79226e-18, 11.3682, -10.3816, -1.90983, -17.9969, 14.8227, 10.5177, -0.351319, 24.5995, -3.53767, 4.48421, -0.99265, -0.743324, 4.98067, 1.15248, 4.64027e-310, 0, 0, 11.3682, -10.3816, -1.90983, -17.9969, 7.41135, 5.25886, 7.41135, 0, 0, -19.5833, 0, 83.9573, 0, 0, 42.0145, 2.84852e-05, 0, 0, 0, 0, 0, 0, 0
0.000154153, -0.0305739, 0.719981, 0.1, -1.04621, 1.26653, -0.320314, 0.1, 0.23, 1, 0.23, 1, 0.0299998, 8.35218e-05, -8.38014e-06, 0.000584834, -0.000584834, -5.61993e-18, 2.13071e-18, -0.000196892, -2.85176e-07, -2.80632e-05, -1.05828e-06, -2.70311e-05, -0.0017373, 11.3721, -10.3821, -1.90913, -17.997, 14.8226, 10.5185, -0.351139, 25.3292, -3.77926, 4.54528, -1.28308, -0.798138, 4.95647, 1.18046, 4.64027e-310, 0, 0, 11.3721, -10.3821, -1.90913, -17.997, 7.41129, 5.25924, 7.41129, 0, 0, -19.5785, 0, 83.975, 0, 0, 42.0247, 2.95564e-05, 0, 0, 0, 0, 0, 0, 0
0.000308305, -0.0305739, 0.719981, 0.1, -1.04621, 1.26653, -0.320314, 0.0999999, 0.23, 1, 0.23, 1, 0.0299994, 0.000166998, -1.67557e-05, 0.00116935, -0.00116935, -4.91375e-18, 2.20603e-18, -0.000393108, -5.91572e-07, -5.53335e-05, -2.13774e-06, -5.32694e-05, -0.00347404, 11.376, -10.3828, -1.90842, -17.9973, 14.8224, 10.5192, -0.350954, 26.0588, -4.02085, 4.60635, -1.57351, -0.852952, 4.93227, 1.20845, 4.64027e-310, 0, 0, 11.376, -10.3828, -1.90842, -17.9973, 7.41122, 5.25962, 7.41122, 0, 0, -19.5736, 0, 83.9931, 0, 0, 42.0351, 3.06091e-05, 0, 0, 0, 0, 0, 0, 0
0.000462458, -0.0305739, 0.719981, 0.1, -1.04621, 1.26653, -0.320314, 0.0999999, 0.23, 1, 0.23, 1, 0.0299987, 0.000250426, -2.51265e-05, 0.00175352, -0.00175352, -8.62385e-19, 3.27175e-18, -0.000588602, -9.2047e-07, -8.17585e-05, -3.23963e-06, -7.86626e-05, -0.00521011, 11.3801, -10.3834, -1.90771, -17.9975, 14.8223, 10.52, -0.350766, 26.7885, -4.26245, 4.66741, -1.86394, -0.907766, 4.90807, 1.23644, 4.64027e-310, 0, 0, 11.3801, -10.3834, -1.90771, -17.9975, 7.41115, 5.26, 7.41115, 0, 0, -19.5686, 0, 84.0118, 0, 0, 42.0458, 3.16418e-05, 0, 0, 0, 0, 0, 0, 0
0.000616611, -0.0305738, 0.719981, 0.100001, -1.04622, 1.26653, -0.320314, 0.0999998, 0.23, 1, 0.23, 1, 0.0299978, 0.000333802, -3.34922e-05, 0.00233734, -0.00233734, 7.39988e-19, 2.09652e-18, -0.000783353, -1.27239e-06, -0.000107314, -4.36448e-06, -0.000103186, -0.00694543, 11.3843, -10.3841, -1.90699, -17.9978, 14.8222, 10.5208, -0.350573, 27.5182, -4.50404, 4.72848, -2.15436, -0.96258, 4.88387, 1.26442, 4.64027e-310, 0, 0, 11.3843, -10.3841, -1.90699, -17.9978, 7.41108, 5.26038, 7.41108, 0, 0, -19.5635, 0, 84.0311, 0, 0, 42.0567, 3.26536e-05, 0, 0, 0, 0, 0, 0, 0
0.000770764, -0.0305738, 0.719981, 0.100001, -1.04622, 1.26653, -0.320314, 0.0999996, 0.23, 1, 0.23, 1, 0.0299966, 0.000417128, -4.18529e-05, 0.0029208, -0.0029208, -1.51373e-18, 6.04153e-18, -0.000977368, -1.64692e-06, -0.000132009, -5.51186e-06, -0.00012685, -0.00867992, 11.3886, -10.3848, -1.90625, -17.9982, 14.822, 10.5215, -0.350376, 28.2478, -4.74564, 4.78955, -2.44479, -1.01739, 4.85967, 1.29241, 4.64027e-310, 0, 0, 11.3886, -10.3848, -1.90625, -17.9982, 7.41101, 5.26075, 7.41101, 0, 0, -19.5583, 0, 84.0509, 0, 0, 42.0679, 3.36447e-05, 0, 0, 0, 0, 0, 0, 0
0.000924916, -0.0305737, 0.719981, 0.100002, -1.04622, 1.26653, -0.320314, 0.0999995, 0.23, 1, 0.23, 1, 0.0299951, 0.000500403, -5.02087e-05, 0.00350391, -0.00350391, -5.56191e-18, 1.18895e-17, -0.00117066, -2.04369e-06, -0.000155853, -6.68141e-06, -0.000149663, -0.0104135, 11.393, -10.3855, -1.90551, -17.9986, 14.8219, 10.5223, -0.350175, 28.9775, -4.98723, 4.85061, -2.73522, -1.07221, 4.83547, 1.32039, 4.64027e-310, 0, 0, 11.393, -10.3855, -1.90551, -17.9986, 7.41093, 5.26113, 7.41093, 0, 0, -19.553, 0, 84.0713, 0, 0, 42.0793, 3.46149e-05, 0, 0, 0, 0, 0, 0, 0
0.00107907, -0.0305736, 0.719981, 0.100002, -1.04622, 1.26653, -0.320314, 0.0999993, 0.23, 1, 0.23, 1, 0.0299934, 0.000583628, -5.85594e-05, 0.00408666, -0.00408666, -5.72885e-18, 9.46521e-18, -0.00136323, -2.46207e-06, -0.000178863, -7.87247e-06, -0.000171642, -0.0121461, 11.3975, -10.3863, -1.90476, -17.999, 14.8217, 10.523, -0.349969, 29.7072, -5.22883, 4.91168, -3.02565, -1.12702, 4.81127, 1.34838, 4.64027e-310, 0, 0, 11.3975, -10.3863, -1.90476, -17.999, 7.41084, 5.2615, 7.41084, 0, 0, -19.5476, 0, 84.0922, 0, 0, 42.091, 3.55642e-05, 0, 0, 0, 0, 0, 0, 0
0.00123322, -0.0305735, 0.719981, 0.100003, -1.04622, 1.26653, -0.320314, 0.099999, 0.23, 1, 0.23, 1, 0.0299914, 0.000666801, -6.69053e-05, 0.00466906, -0.00466906, -2.75702e-18, -1.26123e-19, -0.0015551, -2.90173e-06, -0.000201047, -9.08472e-06, -0.000192795, -0.0138777, 11.4022, -10.3871, -1.90399, -17.9995, 14.8215, 10.5237, -0.349759, 30.4369, -5.47042, 4.97275, -3.31608, -1.18184, 4.78707, 1.37637, 4.64027e-310, 0, 0, 11.4022, -10.3871, -1.90399, -17.9995, 7.41075, 5.26187, 7.41075, 0, 0, -19.5421, 0, 84.1136, 0, 0, 42.1029, 3.64927e-05, 0, 0, 0, 0, 0, 0, 0
0.00138737, -0.0305734, 0.719981, 0.100004, -1.04622, 1.26653, -0.320314, 0.0999988, 0.23, 1, 0.23, 1, 0.0299891, 0.000749925, -7.52463e-05, 0.0052511, -0.0052511, -1.20565e-18, -9.27208e-18, -0.00174626, -3.36235e-06, -0.000222413, -1.03178e-05, -0.000213131, -0.0156082, 11.4069, -10.388, -1.90322, -18.0001, 14.8213, 10.5245, -0.349544, 31.1665, -5.71201, 5.03381, -3.60651, -1.23665, 4.76287, 1.40435, 4.64027e-310, 0, 0, 11.4069, -10.388, -1.90322, -18.0001, 7.41066, 5.26224, 7.41066, 0, 0, -19.5365, 0, 84.1356, 0, 0, 42.115, 3.74003e-05, 0, 0, 0, 0, 0, 0, 0
