secs;nsecs;force_z
1619686202;856538057;526.873950794
1619686202;869069576;527.143298676
1619686202;881604671;527.195997175
1619686202;894032955;527.2142389630001
1619686202;906538248;527.2135633419999
1619686202;919045209;527.076862535
1619686202;931614160;527.2432907
1619686202;944031476;527.101184919
1619686202;956545352;526.9993912369999
1619686202;969035625;527.0243892430001
1619686202;981628417;526.862690431
1619686202;994054794;526.8714735140001
1619686203;6547451;526.826882476
1619686203;19044160;526.72463838
1619686203;31619310;526.878229731
1619686203;44044494;526.778237708
1619686203;56549310;526.901426079
1619686203;69081544;526.846700715
1619686203;81624269;526.862690431
1619686203;94037055;526.886111986
1619686203;106542110;527.030469839
1619686203;119045972;527.047585591
1619686203;141756772;526.9066058459999
1619686203;155220508;527.2673878769999
1619686203;158526182;527.170548755
1619686203;179202795;527.094653908
1619686203;182606935;527.068755073
1619686203;194029808;526.909308333
1619686203;206563234;527.007273491
1619686203;219035625;526.886787607
1619686203;231617212;527.026416109
1619686203;244041681;527.270991193
1619686203;256544828;530.0212222519999
1619686203;269037723;539.913000733
1619686203;281606197;555.944829952
1619686203;294046401;582.410286319
1619686203;306564092;595.94817034
1619686203;319040775;608.039097715
1619686203;331671237;621.359431523
1619686203;344037532;634.0386002609999
1619686203;356567382;643.453164558
1619686203;369034051;649.529256434
1619686203;381609678;654.596870198
1619686203;394026041;660.320287504
1619686203;406531810;662.914449932
1619686203;419054746;655.379690634
1619686203;431682586;644.189592299
1619686203;444034576;629.764842088
1619686203;456544399;613.641578722
1619686203;469045162;598.411036935
1619686203;481610774;584.130419371
1619686203;494049549;566.778425194
1619686203;506560087;546.149890592
1619686203;519036531;513.763059738
1619686203;531621217;479.84684638
1619686203;544049739;460.458077745
1619686203;556548118;433.273309389
1619686203;569066762;392.51552468
1619686203;581623077;340.339056267
1619686203;594047307;290.170345038
1619686203;606541395;241.50837462599998
1619686203;619034528;199.29484987200001
1619686203;631618499;164.69968947700002
1619686203;654182434;140.93855608
1619686203;657520294;129.261203548
1619686203;669067382;121.234172535
1619686203;681609392;120.088328707
1619686203;694031000;121.864786044
1619686203;706561565;118.11705129200001
1619686203;719048738;105.33148444
1619686203;731628656;86.7168476105
1619686203;744043350;65.9534207666
1619686203;756552934;48.588028853999994
1619686203;769041299;33.6565565678
1619686203;781611442;26.027508833400002
1619686203;794037342;20.748062240899998
1619686203;806543827;13.8510320876
1619686203;819047689;6.43100543885
1619686203;831600189;2.57565367382
1619686203;844043493;1.1728603582200001
1619686203;856536388;0.9638392726010001
1619686203;869041919;1.04394183301
1619686203;881608963;1.10318666302
1619686203;904191970;1.18839271066
1619686203;917684078;1.1018553185200002
1619686203;931316852;1.11871901545
1619686203;944823741;1.18728325691
1619686203;958287954;1.19504943313
1619686203;961646080;1.25584749837
1619686203;979191064;1.28558085875
1619686203;992742538;1.2387619106899999
1619686203;996029138;1.11650010796
1619686204;6558418;1.165094182
1619686204;19032239;1.01154578365
1619686204;31641960;0.9729367933130001
1619686204;44046878;1.03240351406
1619686204;56536674;0.951413390654
1619686204;69073677;1.0275219175799999
1619686204;81609010;0.925008391515
1619686204;94038009;1.10274288152
1619686204;106573104;1.00555473343
1619686204;119040250;1.00799553167
1619686204;131618738;1.12337872118
1619686204;144063234;1.20237182785
1619686204;156549692;1.00022935545
1619686204;169075250;1.01842439687
1619686204;181618928;0.8910591069079999
1619686204;194029569;1.04283237927
1619686204;206537246;0.9778183897930001
1619686204;219049453;0.9988980109540001
1619686204;231609821;0.933884021477
1619686204;244059324;0.932108895485
1619686204;256539583;0.919904904286
1619686204;279172420;0.835364528892
1619686204;292655706;0.884180493687
1619686204;306118249;0.894387468144
1619686204;319585561;0.914801417058
1619686204;341872453;0.857775494548
1619686204;345227479;0.971605448819
1619686204;356542825;0.8650978892669999
1619686204;369036436;0.989134817995
1619686204;381602287;0.997122884961
1619686204;394045114;0.850453099829
1619686204;406541347;1.0339567493100001
1619686204;419045925;0.9265616267579999
1619686204;431619882;1.0255249008399998
1619686204;444054365;0.970717885822
1619686204;456546783;1.09431103305
1619686204;469045877;0.9380999457100001
1619686204;481607198;1.00222637219
1619686204;494029045;0.963395491103
1619686204;506535053;0.9849188937630001
1619686204;519042491;0.9252302822640001
1619686204;531599760;1.05215179073
1619686204;544078588;0.8737516284799999
1619686204;556559085;0.981812423276
1619686204;569056272;1.09652994054
1619686204;581620454;0.9951258682200002
1619686204;594042062;1.09830506654
1619686204;606536149;1.05703338721
1619686204;619029521;1.02796569908
1619686204;631604433;0.996457212714
1619686204;644051551;1.01420847264
1619686204;656547546;0.9778183897930001
1619686204;669075012;1.0641338911799998
1619686204;681601047;0.982478095523
1619686204;694048404;1.00755175017
1619686204;706544637;1.16087825777
1619686204;719042301;1.05370502597
1619686204;731611251;1.05170800923
1619686204;744051933;1.10030208328
1619686204;756566286;0.9254521730130001
1619686204;769045829;1.00799553167
1619686204;781604766;0.929889987994
1619686204;794048547;1.00622040567
1619686204;806525707;1.14002052736
1619686204;819043397;1.07034683215
1619686204;831621408;1.0823289326
1619686204;844051122;1.10518367976
1619686204;856545209;0.986472129006
1619686204;869039535;1.0244154471
